District,Sub-district,Village
Thiruvananthapuram,Chirayinkeezhu,Vakkom (Ct)
Thiruvananthapuram,Chirayinkeezhu,Vellalloor
Thiruvananthapuram,Nedumangad,Anad
Thiruvananthapuram,Nedumangad,Aruvikkara
Thiruvananthapuram,Nedumangad,Aryanad
Thiruvananthapuram,Nedumangad,Kallara
Thiruvananthapuram,Nedumangad,Karakulam (Ct)
Thiruvananthapuram,Nedumangad,Karuppur
Thiruvananthapuram,Nedumangad,Koliyakode
Thiruvananthapuram,Nedumangad,Kurupuzha
Thiruvananthapuram,Nedumangad,Manikkal
Thiruvananthapuram,Nedumangad,Nedumangad
Thiruvananthapuram,Nedumangad,Nellanad
Thiruvananthapuram,Nedumangad,Palode
Thiruvananthapuram,Nedumangad,Panavoor
Thiruvananthapuram,Nedumangad,Pangode
Thiruvananthapuram,Nedumangad,Peringamala
Thiruvananthapuram,Nedumangad,Pullampara
Thiruvananthapuram,Nedumangad,Theakada
Thiruvananthapuram,Nedumangad,Thennoor
Thiruvananthapuram,Nedumangad,Tholicode
Thiruvananthapuram,Nedumangad,Uzhamalackal
Thiruvananthapuram,Nedumangad,Vamanapuram
Thiruvananthapuram,Nedumangad,Vattappara (Ct)
Thiruvananthapuram,Nedumangad,Vellanad
Thiruvananthapuram,Nedumangad,Vembayam
Thiruvananthapuram,Nedumangad,Vithura
Thiruvananthapuram,Thiruvananthapuram,Andoorkonam
Thiruvananthapuram,Thiruvananthapuram,Attipra
Thiruvananthapuram,Thiruvananthapuram,Cheruvackal
Thiruvananthapuram,Thiruvananthapuram,Iroopara (Ct)
Thiruvananthapuram,Thiruvananthapuram,Kadakampalli
Thiruvananthapuram,Thiruvananthapuram,Kadinamkulam
Thiruvananthapuram,Thiruvananthapuram,Kalliyoor (Ct)
Thiruvananthapuram,Thiruvananthapuram,Kawdiar
Thiruvananthapuram,Thiruvananthapuram,Kazhakkoottam(Og)
Thiruvananthapuram,Thiruvananthapuram,Keezhthonnakkal
Thiruvananthapuram,Thiruvananthapuram,Kudappanakkunnu (Ct)
Thiruvananthapuram,Thiruvananthapuram,Manacadu
Thiruvananthapuram,Thiruvananthapuram,Melthonnakkal
Thiruvananthapuram,Thiruvananthapuram,Menamkulam
Thiruvananthapuram,Thiruvananthapuram,Muttathara
Thiruvananthapuram,Thiruvananthapuram,Nemom
Thiruvananthapuram,Thiruvananthapuram,Pallippuram (Ct)
Thiruvananthapuram,Thiruvananthapuram,Pangappara
Thiruvananthapuram,Thiruvananthapuram,Pattom
Thiruvananthapuram,Thiruvananthapuram,Peroorkada
Thiruvananthapuram,Thiruvananthapuram,Pettah
Thiruvananthapuram,Thiruvananthapuram,Sasthamangalam
Thiruvananthapuram,Thiruvananthapuram,Thirumala
Thiruvananthapuram,Thiruvananthapuram,Thiruvallam
Thiruvananthapuram,Thiruvananthapuram,Thycaud
Thiruvananthapuram,Thiruvananthapuram,Uliyazhathura (Ct)
Thiruvananthapuram,Thiruvananthapuram,Ulloor
Thiruvananthapuram,Thiruvananthapuram,Vanchiyoor
Thiruvananthapuram,Thiruvananthapuram,Vattiyoorkavu (Ct)
Thiruvananthapuram,Thiruvananthapuram,Veiloor (Ct)
Thiruvananthapuram,Thiruvananthapuram,Venganoor (Ct)
Thiruvananthapuram,Neyyattinkara,Anavoor
Thiruvananthapuram,Neyyattinkara,Athiyannur (Ct)
Thiruvananthapuram,Neyyattinkara,Balaramapuram
Thiruvananthapuram,Neyyattinkara,Chenkal (Part)
Thiruvananthapuram,Neyyattinkara,Kanjiramkulam (Ct)
Thiruvananthapuram,Neyyattinkara,Karode
Thiruvananthapuram,Neyyattinkara,Karumkulam
Thiruvananthapuram,Neyyattinkara,Kollayil (Part)
Thiruvananthapuram,Neyyattinkara,Kottukal (Part)
Thiruvananthapuram,Neyyattinkara,Kulathoor
Thiruvananthapuram,Neyyattinkara,Kunnathukal
Thiruvananthapuram,Neyyattinkara,Neyyattinkara
Thiruvananthapuram,Neyyattinkara,Pallichal (Ct)
Thiruvananthapuram,Neyyattinkara,Parassala (Ct)
Thiruvananthapuram,Neyyattinkara,Parasuvaikkal (Ct)
Thiruvananthapuram,Neyyattinkara,Perumkadavila
Thiruvananthapuram,Neyyattinkara,Perumpazhuthur
Thiruvananthapuram,Neyyattinkara,Poovar
Thiruvananthapuram,Neyyattinkara,Thirupuram
Thiruvananthapuram,Neyyattinkara,Vellarada
Thiruvananthapuram,Neyyattinkara,Vizhinjam (Part)
Thiruvananthapuram,Kattakkada,Amboori
Thiruvananthapuram,Kattakkada,Kallikkad
Thiruvananthapuram,Kattakkada,Keezharoor
Thiruvananthapuram,Kattakkada,Kulathummal (Ct)
Thiruvananthapuram,Kattakkada,Malayinkeezhu (Ct)
Thiruvananthapuram,Kattakkada,Mannoorkara
Thiruvananthapuram,Kattakkada,Maranalloor
Thiruvananthapuram,Kattakkada,Ottasekharamangalam
Thiruvananthapuram,Kattakkada,Perumkulam
Thiruvananthapuram,Kattakkada,Vazhichal
Thiruvananthapuram,Kattakkada,Veeranakavu
Thiruvananthapuram,Kattakkada,Vilappil (Ct)
Thiruvananthapuram,Kattakkada,Vilavoorkkal (Ct)
Thiruvananthapuram,Varkala,Ayiroor
Thiruvananthapuram,Varkala,Chemmaruthy
Thiruvananthapuram,Varkala,Cherunniyoor
Thiruvananthapuram,Varkala,Edava
Thiruvananthapuram,Varkala,Kudavoor
Thiruvananthapuram,Varkala,Madavoor
Thiruvananthapuram,Varkala,Manamboor
Thiruvananthapuram,Varkala,Navaikulam
Thiruvananthapuram,Varkala,Ottoor
Thiruvananthapuram,Varkala,Pallickal
Thiruvananthapuram,Varkala,Varkala
Thiruvananthapuram,Varkala,Vettoor
Thrissur,Talappilly,Arangottukara
Thrissur,Talappilly,Attoor
Thrissur,Talappilly,Chelakkara (Ct)
Thrissur,Talappilly,Chelakode
Thrissur,Talappilly,Cheruthuruthi (Ct)
Thrissur,Talappilly,Chittanda (Ct)
Thrissur,Talappilly,Desamangalam (Ct)
Thrissur,Talappilly,Elanad
Thrissur,Talappilly,Enkakkad (Ct)
Thrissur,Talappilly,Kaniyarkode (Ct)
Thrissur,Talappilly,Kanjirakode
Thrissur,Talappilly,Karumathara
Thrissur,Talappilly,Killimangalam
Thrissur,Talappilly,Kondazhy
Thrissur,Talappilly,Kottappuram (Ct)
Thrissur,Talappilly,Kumaranellur (Ct)
Thrissur,Talappilly,Kurumala
Thrissur,Talappilly,Manalithara
Thrissur,Talappilly,Mayannur
Thrissur,Talappilly,Minalur (Ct)
Thrissur,Talappilly,Mullurkara
Thrissur,Talappilly,Mundathikode (Ct)
Thrissur,Talappilly,Nedumpura (Ct)
Thrissur,Talappilly,Painkulam
Thrissur,Talappilly,Pallur
Thrissur,Talappilly,Pampady
Thrissur,Talappilly,Pangarappilly
Thrissur,Talappilly,Panjal
Thrissur,Talappilly,Parlikad
Thrissur,Talappilly,Pazhayannur
Thrissur,Talappilly,Peringandoor (Ct)
Thrissur,Talappilly,Pilakkad
Thrissur,Talappilly,Pulakode
Thrissur,Talappilly,Puthuruthy
Thrissur,Talappilly,Thalassery
Thrissur,Talappilly,Thekkumkara
Thrissur,Talappilly,Thichur
Thrissur,Talappilly,Thiruvilwamala
Thrissur,Talappilly,Thonnurkara
Thrissur,Talappilly,Vadakkethara
Thrissur,Talappilly,Varavoor
Thrissur,Talappilly,Venganellur
Thrissur,Talappilly,Vennur
Thrissur,Talappilly,Viruppakka
Thrissur,Talappilly,Wadakkanchery (Ct)
Thrissur,Chavakkad,Annakara
Thrissur,Chavakkad,Brahmakulam (Ct)
Thrissur,Chavakkad,Chavakkad
Thrissur,Chavakkad,Chavakkad
Thrissur,Chavakkad,Edakkazhiyur (Ct)
Thrissur,Chavakkad,Elavally (Ct)
Thrissur,Chavakkad,Engandiyur
Thrissur,Chavakkad,Guruvayur
Thrissur,Chavakkad,Guruvayur
Thrissur,Chavakkad,Irimbranallur
Thrissur,Chavakkad,Iringaprom (Ct)
Thrissur,Chavakkad,Kadappuram
Thrissur,Chavakkad,Kadikkad (Ct)
Thrissur,Chavakkad,Kundazhiyur
Thrissur,Chavakkad,Manathala
Thrissur,Chavakkad,Mullassery (Ct)
Thrissur,Chavakkad,Nattika
Thrissur,Chavakkad,Orumanayur (Ct)
Thrissur,Chavakkad,Pavaratty (Ct)
Thrissur,Chavakkad,Perakam (Ct)
Thrissur,Chavakkad,Pookode (Ct)
Thrissur,Chavakkad,Punnayur (Ct)
Thrissur,Chavakkad,Punnayurkulam (Ct)
Thrissur,Chavakkad,Talikkulam (Ct)
Thrissur,Chavakkad,Thaikkad (Ct)
Thrissur,Chavakkad,Vadakkekad (Ct)
Thrissur,Chavakkad,Vadanappally (Ct)
Thrissur,Chavakkad,Valappad
Thrissur,Chavakkad,Venkitangu (Ct)
Thrissur,Chavakkad,Venmanad (Ct)
Thrissur,Chavakkad,Vylathur (Ct)
Thrissur,Thrissur,Adat (Ct)
Thrissur,Thrissur,Alappad
Thrissur,Thrissur,Anjur (Ct)
Thrissur,Thrissur,Anthicad (Ct)
Thrissur,Thrissur,Aranattukara
Thrissur,Thrissur,Arattupuzha
Thrissur,Thrissur,Avanur (Ct)
Thrissur,Thrissur,Avinissery (Ct)
Thrissur,Thrissur,Ayyanthole
Thrissur,Thrissur,Chalakkal
Thrissur,Thrissur,Chazhoor
Thrissur,Thrissur,Chembookkavu
Thrissur,Thrissur,Cherpu (Ct)
Thrissur,Thrissur,Chevvoor (Ct)
Thrissur,Thrissur,Chittilappilly (Ct)
Thrissur,Thrissur,Chiyyaram
Thrissur,Thrissur,Choolissery (Ct)
Thrissur,Thrissur,Edakkalathur (Ct)
Thrissur,Thrissur,Edakkunni
Thrissur,Thrissur,Eravu (Ct)
Thrissur,Thrissur,Inchamudi
Thrissur,Thrissur,Kainoor (Ct)
Thrissur,Thrissur,Kaiparamba (Ct)
Thrissur,Thrissur,Kanimangalam
Thrissur,Thrissur,Karamuck (Ct)
Thrissur,Thrissur,Killannur (Ct)
Thrissur,Thrissur,Kizhakkummuri (Ct)
Thrissur,Thrissur,Kizhuppillikkara (Ct)
Thrissur,Thrissur,Kodannur (Ct)
Thrissur,Thrissur,Kolazhy (Ct)
Thrissur,Thrissur,Koorkkanchery
Thrissur,Thrissur,Kozhukkully (Ct)
Thrissur,Thrissur,Kurichikkara (Ct)
Thrissur,Thrissur,Kurumpilavu (Ct)
Thrissur,Thrissur,Kuttoor (Ct)
Thrissur,Thrissur,Madakkathara
Thrissur,Thrissur,Manakkody (Ct)
Thrissur,Thrissur,Manalur (Ct)
Thrissur,Thrissur,Mannamangalam
Thrissur,Thrissur,Marathakkara (Ct)
Thrissur,Thrissur,Mulayam
Thrissur,Thrissur,Nadathara (Ct)
Thrissur,Thrissur,Nettissery
Thrissur,Thrissur,Ollukkara
Thrissur,Thrissur,Ollur
Thrissur,Thrissur,Oorakam (Ct)
Thrissur,Thrissur,Padiyam (Ct)
Thrissur,Thrissur,Palissery (Ct)
Thrissur,Thrissur,Pallippuram
Thrissur,Thrissur,Pananchery
Thrissur,Thrissur,Parakkad (Ct)
Thrissur,Thrissur,Paralam (Ct)
Thrissur,Thrissur,Peechi
Thrissur,Thrissur,Peramangalam (Ct)
Thrissur,Thrissur,Peringavu
Thrissur,Thrissur,Poonkunnam
Thrissur,Thrissur,Pottore (Ct)
Thrissur,Thrissur,Pullazhi
Thrissur,Thrissur,Pullu
Thrissur,Thrissur,Puranattukara (Ct)
Thrissur,Thrissur,Puthur (Ct)
Thrissur,Thrissur,Puzhakkal (Ct)
Thrissur,Thrissur,Thangalur (Ct)
Thrissur,Thrissur,Thanniyam (Ct)
Thrissur,Thrissur,Tholur (Ct)
Thrissur,Thrissur,Thrissur
Thrissur,Thrissur,Vadakkummuri (Ct)
Thrissur,Thrissur,Vallachira (Ct)
Thrissur,Thrissur,Velappaya
Thrissur,Thrissur,Vellanikkara (Ct)
Thrissur,Thrissur,Veluthur (Ct)
Thrissur,Thrissur,Venginissery (Ct)
Thrissur,Thrissur,Vilvattom
Thrissur,Thrissur,Viyyur
Thrissur,Kodungallur,Ala (Ct)
Thrissur,Kodungallur,Azhikode
Thrissur,Kodungallur,Chendrappini (Ct)
Thrissur,Kodungallur,Edathiruthy (Ct)
Thrissur,Kodungallur,Edavilangu (Ct)
Thrissur,Kodungallur,Eriyad (Og)
Thrissur,Kodungallur,Kaipamangalam (Ct)
Thrissur,Kodungallur,Koolimuttam
Thrissur,Kodungallur,Lokamaleswaram
Thrissur,Kodungallur,Madathumpady (Ct)
Thrissur,Kodungallur,Methala (Ct)
Thrissur,Kodungallur,Padinjare Vemballur
Thrissur,Kodungallur,Pallippuram (Ct)
Thrissur,Kodungallur,Panangad (Ct)
Thrissur,Kodungallur,Pappinivattom (Ct)
Thrissur,Kodungallur,Perinjanam (Ct)
Thrissur,Kodungallur,Poyya (Ct)
Thrissur,Kodungallur,Pullut
Thrissur,Mukundapuram,Amballur (Ct)
Thrissur,Mukundapuram,Anandapuram
Thrissur,Mukundapuram,Chengallur
Thrissur,Mukundapuram,Edathirinji (Ct)
Thrissur,Mukundapuram,Irinjalakuda
Thrissur,Mukundapuram,Kaduppassery
Thrissur,Mukundapuram,Kallur
Thrissur,Mukundapuram,Karalam
Thrissur,Mukundapuram,Karumathra
Thrissur,Mukundapuram,Kattur (Ct)
Thrissur,Mukundapuram,Kottanellur
Thrissur,Mukundapuram,Madayikonam (Ct)
Thrissur,Mukundapuram,Manavalassery (Ct)
Thrissur,Mukundapuram,Muriyad
Thrissur,Mukundapuram,Nellayi
Thrissur,Mukundapuram,Nenmenikkara (Ct)
Thrissur,Mukundapuram,Padiyur (Ct)
Thrissur,Mukundapuram,Parappukkara (Ct)
Thrissur,Mukundapuram,Poomangalam (Ct)
Thrissur,Mukundapuram,Porathissery (Ct)
Thrissur,Mukundapuram,Pullur (Ct)
Thrissur,Mukundapuram,Puthenchira
Thrissur,Mukundapuram,Thekkumkara (Ct)
Thrissur,Mukundapuram,Thoravu
Thrissur,Mukundapuram,Thottippal
Thrissur,Mukundapuram,Trikkur (Ct)
Thrissur,Mukundapuram,Vadakkumkara (Ct)
Thrissur,Mukundapuram,Vallivattom
Thrissur,Mukundapuram,Vellookkara (Ct)
Thrissur,Chalakkudy,Alathur
Thrissur,Chalakkudy,Alur
Thrissur,Chalakkudy,Annallur
Thrissur,Chalakkudy,Athirappally
Thrissur,Chalakkudy,East Chalakkudy
Thrissur,Chalakkudy,Elanjipra
Thrissur,Chalakkudy,Kakkulissery
Thrissur,Chalakkudy,Kallettumkara (Ct)
Thrissur,Chalakkudy,Kallur Thekkummuri (Ct)
Thrissur,Chalakkudy,Kallur Vadakkummuri (Ct)
Thrissur,Chalakkudy,Kizhakkummuri
Thrissur,Chalakkudy,Kodakara
Thrissur,Chalakkudy,Kodassery
Thrissur,Chalakkudy,Kuruvilassery
Thrissur,Chalakkudy,Kuttichira
Thrissur,Chalakkudy,Mattathur
Thrissur,Chalakkudy,Melur
Thrissur,Chalakkudy,Mupliyam
Thrissur,Chalakkudy,Muringoor Thekkmmuri
Thrissur,Chalakkudy,Muringur Vadakkummuri (Ct)
Thrissur,Chalakkudy,Nandipulam
Thrissur,Chalakkudy,Pariyaram
Thrissur,Chalakkudy,Perambra
Thrissur,Chalakkudy,Potta
Thrissur,Chalakkudy,Thazhekkad
Thrissur,Chalakkudy,Thirumukkulam
Thrissur,Chalakkudy,Vadakkumbhagom
Thrissur,Chalakkudy,Vadama (Ct)
Thrissur,Chalakkudy,Varandarappilly
Thrissur,Chalakkudy,Vellikulangara
Thrissur,Chalakkudy,West Chalakkudy
Thrissur,Kunnamkulam,Akathiyoor (Ct)
Thrissur,Kunnamkulam,Aloor (Ct)
Thrissur,Kunnamkulam,Anjur
Thrissur,Kunnamkulam,Arthat
Thrissur,Kunnamkulam,Chemmanthatta
Thrissur,Kunnamkulam,Chiramanangad (Ct)
Thrissur,Kunnamkulam,Chiranellur (Ct)
Thrissur,Kunnamkulam,Choondal (Ct)
Thrissur,Kunnamkulam,Chowwannur
Thrissur,Kunnamkulam,Eranellur (Ct)
Thrissur,Kunnamkulam,Eyyal (Ct)
Thrissur,Kunnamkulam,Kadangode
Thrissur,Kunnamkulam,Kadavallur (Ct)
Thrissur,Kunnamkulam,Kandanassery (Ct)
Thrissur,Kunnamkulam,Kanipayyur
Thrissur,Kunnamkulam,Karikkad (Ct)
Thrissur,Kunnamkulam,Kariyannur (Ct)
Thrissur,Kunnamkulam,Kattakampal (Ct)
Thrissur,Kunnamkulam,Kiralur
Thrissur,Kunnamkulam,Kunnamkulam
Thrissur,Kunnamkulam,Mangad (Part)
Thrissur,Kunnamkulam,Nelluwaya (Ct)
Thrissur,Kunnamkulam,Pazhanji (Ct)
Thrissur,Kunnamkulam,Perumpilavu
Thrissur,Kunnamkulam,Porkulam (Ct)
Thrissur,Kunnamkulam,Thayyur
Thrissur,Kunnamkulam,Vellarakkad
Thrissur,Kunnamkulam,Vellattanjur
Thrissur,Kunnamkulam,Velur (Ct)
Wayanad,Mananthavady,Anchukunnu
Wayanad,Mananthavady,Cherukottur
Wayanad,Mananthavady,Edavaka
Wayanad,Mananthavady,Kanjirangad
Wayanad,Mananthavady,Mananthavady
Wayanad,Mananthavady,Nalloornad
Wayanad,Mananthavady,Panamaram
Wayanad,Mananthavady,Payyampally
Wayanad,Mananthavady,Periya
Wayanad,Mananthavady,Porunnanore
Wayanad,Mananthavady,Thavinhal
Wayanad,Mananthavady,Thirunelly
Wayanad,Mananthavady,Thondernad
Wayanad,Mananthavady,Thrissilery
Wayanad,Mananthavady,Valat
Wayanad,Mananthavady,Vellamunda
Wayanad,Sulthanbathery,Ambalavayal
Wayanad,Sulthanbathery,Cheeral
Wayanad,Sulthanbathery,Irulam
Wayanad,Sulthanbathery,Kidanganad
Wayanad,Sulthanbathery,Krishnagiri
Wayanad,Sulthanbathery,Kuppadi
Wayanad,Sulthanbathery,Nadavayal
Wayanad,Sulthanbathery,Nenmeni
Wayanad,Sulthanbathery,Noolpuzha
Wayanad,Sulthanbathery,Padichira
Wayanad,Sulthanbathery,Poothadi
Wayanad,Sulthanbathery,Pulpalli
Wayanad,Sulthanbathery,Purakkadi
Wayanad,Sulthanbathery,Sulthanbathery
Wayanad,Sulthanbathery,Thomattuchal
Wayanad,Vythiri,Achooranam
Wayanad,Vythiri,Chundale
Wayanad,Vythiri,Kalpetta
Wayanad,Vythiri,Kaniambetta
Wayanad,Vythiri,Kavumannam
Wayanad,Vythiri,Kottappadi (Part)
Wayanad,Vythiri,Kottathara
Wayanad,Vythiri,Kunnathidavaka
Wayanad,Vythiri,Kuppadithara
Wayanad,Vythiri,Muppainad
Wayanad,Vythiri,Muttil North
Wayanad,Vythiri,Muttil South
Wayanad,Vythiri,Padinharethara
Wayanad,Vythiri,Pozhuthana
Wayanad,Vythiri,Thariyode
Wayanad,Vythiri,Thrikkaipatta (Part)
Wayanad,Vythiri,Vellarimala
Wayanad,Vythiri,Vengappally
